Source	Target	Type	Timestamp	Weight	OtherInfo	datum	b1-nummer	achternaam	voorletters	voorna(a)m(en)	roepnaam	prepositie	geslacht
6	11208	Directed		1.0	plaatsvervangend lid bestuur	/01-04-1997	2246	Verburg	G.	Gerritje	Gerda		v
6	11211	Directed		1.0	"lid raad van toezicht """""	/(omstreeks: 00-07-1997)/	2568	Assen	J.G.M.	Johanna Gesina Maria	Anneke		v
6	11212	Directed		1.0	"lid raad van toezicht ""werkenrode"" te groesbeek"		2575	Meijer	Th.A.M.	Theodorus Antonius Maria	Theo		m
6	11216	Directed		1.0	lid	00-00-2003/00-05-2007	2992	Walsma	J.	Jacobus	Kobus		m
6	11218	Directed		1.0	lid algemeen bestuur	00-00-1994/00-00-2002	2440	Brinkel	Th.B.F.M.	Theodorus Bernardus Franciscus Maria	Theo		m
6	11220	Directed		1.0	voorzitter	00-00-1997/	3007	Essers	P.H.J.	Petrus Hubertus Johannes	Peter		m
6	11238	Directed		1.0	lid raad van toezicht westeinde ziekenhuis te 's-gravenhage	00-00-1983/00-00-1994	2264	Hul-Omta	J.J.Tj.	Jannie Jantina Tjaaktje	Jannie	van den	v
6	11244	Directed		1.0	begeleider reorganisatie	00-12-1999/	2659	Bukman	P.	Pieter	Piet		m
6	11248	Directed		1.0	voorzitter commissie	/(omstreeks: 00-00-1986)/00-00-1991	2841	Boorsma	P.B.	Peter Bauke	Peter		m
6	11250	Directed		1.0	"redacteur ""wet wapens en munitie"" (kluwer-wetsuitgaven)"	00-00-2008/	3324	Oskam	P.	Peter	Peter		m
6	11251	Directed		1.0	plaatsvervangend lid toetsingscommissie	01-09-2007/	2259	Mosterd	A.	Aart	Aart		m
6	11252	Directed		1.0	"voorzitter redactiecommissie """""	00-00-1995/00-00-1999	2280	Woldring	H.E.S.	Hendrik Egbert Sipke	Henk		m
6	11254	Directed		1.0	"lid redactie sociaal-wetenschappelijk magazine ""facta"""	00-00-2001/00-00-2003	2442	Hijum	Y.J.	Yde Johan	Eddy	van	m
6	11255	Directed		1.0	lid raad van advies voor		2229	Milliano	J.	Jacques	Jacques	de	m
6	11259	Directed		1.0	lid	00-00-1996	3172	Leunissen	K.M.L.	Karel Maria Lucas	Karel		m
6	11261	Directed		1.0	lid sociaal-wetenschappelijke raad knaw (koninklijke nederlandse akademie van wetenschappen)		12222	Franken	H.	Hendrik	Hans		m
6	11262	Directed		1.0	lid	00-00-1996/00-00-2002	3172	Leunissen	K.M.L.	Karel Maria Lucas	Karel		m
6	11273	Directed		1.0	voorzitter wielerclub zuid-limburg	00-00-2000/00-00-2002	2301	Aasted-Madsen-van Stiphout	J.D.M.P.	Josine Dominique Maria Petra	Ine		v
6	11274	Directed		1.0	lid bestuur	/(omstreeks: 00-04-2006)/	2204	Atsma	J.J.	Johannes Jan	Joop		m
6	11280	Directed		1.0	lid bestuur wijkraad helmond-brouwhuis		3050	Heugten	R.A.C.	Rudolf Antonius Cornelis	Ruud	van	m
6	11281	Directed		1.0	adviseur	00-00-2011/	1885	Braks	G.J.M.	Gerardus Johannes Maria	Gerrit		m
6	11282	Directed		1.0	"lid bestuur """""		3055	Schermers	J.P.	Janneke Paulette	Janneke		v
6	11292	Directed		1.0	secretaris wing (welzijn in groningen)	/00-00-2002	2262	Dölle	A.H.M.	Alfonsus Hermanus Maria	Alfons		m
6	11306	Directed		1.0	"lid raad van commissarissen ""wolters-van dijk b.v."" te venlo"	/(omstreeks: 00-10-1984)/00-00-1995	2688	Wolters	F.L.A.J.	Franciscus Leonardus Antonius Johannes	Frans		m
6	11312	Directed		1.0	lid raad van commissarissen	00-00-2010/	2387	Fessem	W.M.M.	Wilhelmus Michael Maria	Wim	van	m
6	11315	Directed		1.0	lid bestuur		2894	Luimstra-Albeda	M.	Mintje	Minny		v
6	11316	Directed		1.0	commissaris		2600	Willemse-van der Ploeg	A.A.M.	Anna Agatha Maria	Ans		v
6	11321	Directed		1.0	lid bestuur woningbouwvereniging patrimonium te 's-gravenhage	00-00-1984/00-00-1994	2264	Hul-Omta	J.J.Tj.	Jannie Jantina Tjaaktje	Jannie	van den	v
6	11322	Directed		1.0	"voorzitter klachtencommissie woningbouwvereniging ""vryleve"" (voorheen ""de goede woning"") te lobith"	00-00-2002/00-00-2009	2290	Beeten	R.H.	Robertus Hermanus	Rob	van de	m
6	11327	Directed		1.0	lid raad van toezicht	00-00-1996/00-00-1997	2801	Visser-van Doorn	M.C.W.	Marijtje Cornelia Willemijntje	Marry		v
6	11331	Directed		1.0	"lid raad van commissarissen """""	01-09-1999/	1634	Pater-van der Meer	M.L.	Maartje Lena	Marleen	de	v
6	11340	Directed		1.0	"lid raad van toezicht ""woodbrookers"" te kortehemmen"	01-01-2010/01-01-2014	3166	Vries-Leggedoor	G.	Grietje	Greetje	de	v
6	11342	Directed		1.0	lid raad van commissarissen	00-06-2014/	3052	Koppejan	A.J.	Adriaan Jacobus	Ad		m
6	11344	Directed		1.0	"lid raad van commissarissen woningcorporatie ""woongoed zeeuws-vlaanderen"""	00-00-2010/	2318	Lith	M.Th.J.M.	Martinus Theodorus Johannes Maria	Erik	van	m
6	11345	Directed		1.0	voorzitter raad van commissarissen woongoed2-duizend	00-01-2012/	2675	Oomen-Ruijten	M.G.H.C.	Maria Gertruda Hermina Cecilia	Ria		v
6	11354	Directed		1.0	"lid werkgroep woord- en communievieringen ""sint martinusparochie"", herwen en aerdt"	00-00-2002/	2290	Beeten	R.H.	Robertus Hermanus	Rob	van de	m
6	11363	Directed		1.0	voorzitter bestuur	00-00-1988/00-00-1990	2874	Stevens	W.F.C.	Willem Frans Casimir	Willem		m
6	11373	Directed		1.0	lid commissie sociale zaken en welzijn, wrr (wetenschappelijke raad voor het regeringsbeleid)	/(omstreeks: 00-00-1991)/(00-00-1992)	2609	Werner	F.J.M.	Frans Joseph Marie	Jos		m
6	11378	Directed		1.0	lid raad van advies wtc twente te hengelo (ov.)		2441	Omtzigt	P.H.	Pieter Herman	Pieter		m
6	11383	Directed		2.0	vicevoorzitter	01-01-2007/01-01-2008	3174	Tiesinga	H.L.	Hendrik Lammert	Henk		m
6	11385	Directed		1.0	lid hoofdbestuur ymca-nederland	00-00-1998/00-00-2001	3055	Schermers	J.P.	Janneke Paulette	Janneke		v
6	11387	Directed		1.0	"juryvoorzitter """""		2996	Gennip	C.E.G.	Catharina Elisabeth Godefrida	Karien	van	v
6	11389	Directed		1.0	vicevoorzitter		1899	Linden	P.R.H.M.	Pierre René Hubert Marie	René	van der	m
6	11390	Directed		1.0	"lid bestuur ""youth for christ"", afdeling bolsward"		3054	Rouwe	S.	Sander	Sander	de	m
6	11391	Directed		1.0	lid bestuur	00-09-2010/	2373	Vries	J.M.	Jan Marinus	Jan	de	m
6	11392	Directed		1.0	voorzitter bestuur ypo (young presidents' organization) nederland	00-00-2004/00-00-2006	3051	Kortenhorst	J.T.H.M.	Jules Timotheus Hendrikus Maria	Jules		m
6	11401	Directed		1.0	"lid redactie tijdschrift """""	00-00-1994/00-00-1998	2213	Buijs	S.	Salomon	Siem		m
6	11402	Directed		1.0	presentator		2213	Buijs	S.	Salomon	Siem		m
6	11403	Directed		1.0	lid begeleidingscommissie interregionaal programma zeeland-vlaanderen	/(omstreeks: 00-06-1999)/(00-00-2001)/	2880	Hoeven	M.J.A.	Maria Josephina Arnoldina	Maria	van der	v
6	11407	Directed		1.0	lid bestuur		1797	Beinema	M.	Marten	Marten		m
6	11408	Directed		1.0	voorzitter		3020	Peijs	K.M.H.	Karla Maria Henriëtte	Karla		v
6	11411	Directed		1.0	docent		1797	Beinema	M.	Marten	Marten		m
6	11418	Directed		1.0	"voorzitter zeister historisch genootschap ""van de poll stichting"""	19-06-1995/06-03-2000	2641	Burg	V.A.M.	Vincent Arthur Maria	Vincent	van der	m
6	11426	Directed		1.0	"lid bestuur zieken- en verpleeghuis ""de liemers"" te zevenaar"	00-00-1972/00-00-1978	15088	Hendrikx	J.A.M.	Jan Andreas Marie	Jan		m
6	11427	Directed		2.0	lid dagelijks bestuur ziekenfondsen midden-zeeland	00-00-1980/01-01-1991	2213	Buijs	S.	Salomon	Siem		m
6	11428	Directed		6.0	kroonlid	00-00-1982/00-00-1986	2265	Jong	E.P.	Engelbertus Pieter	Bert	de	m
6	11429	Directed		1.0	"lid raad van toezicht ziekenhuis ""rivierenland"" te tiel"	01-05-2004/	2352	Dijk	J.J.	Jan Jacob	Jan Jacob	van	m
6	11433	Directed		1.0	lid werkgroep ziekte johne (sgd)		3139	Benedictus	G.	Geert	Geart		m
6	11437	Directed		1.0	voorzitter curatorium		2984	Jong	G.	Gerrit	Gerrit	de	m
6	11448	Directed		1.0	lid bestuur		795	Leeuwen	J.	Johanna	Hannie	van	v
6	11450	Directed		1.0	lid raad van advies zom (zeeuwse ontwikkelingsmaatschappij)	00-04-1989/	1891	Eversdijk	H.	Hubrecht	Huib		m
6	11458	Directed		1.0	adviseur zonne-ei farm te terschuur	/(omstreeks: 00-10-1996)/	2575	Meijer	Th.A.M.	Theodorus Antonius Maria	Theo		m
6	11459	Directed		1.0	"voorzitter bestuur """""	/(omstreeks: 00-00-2001)/	2626	Heeringa	B.	Bob	Bob		m
6	11465	Directed		1.0	voorzitter stuurgroep		2609	Werner	F.J.M.	Frans Joseph Marie	Jos		m
6	11467	Directed		1.0	"lid raad van advies zorgboerderij ""kakelbont"" te dinteloord"		3045	Biskop	J.J.G.M.	Jacobus Johannes Gerardus Maria	Jack		m
6	11468	Directed		1.0	"lid raad van toezicht """""		2313	Geel	P.L.B.A.	Petrus Leonardus Bastiaan Antonius	Pieter	van	m
6	11473	Directed		2.0	lid raad van toezicht		2442	Hijum	Y.J.	Yde Johan	Eddy	van	m
6	11475	Directed		1.0	voorzitter	/(omstreeks: 00-03-1995)/	2606	Deetman	W.J.	Willem Joost	Wim		m
6	11477	Directed		1.0	lid raad van toezicht		3426	Kesteren	N.J.J.	Nicolaas Johannes Jacobus	Niek Jan	van	m
6	11478	Directed		1.0	"vicevoorzitter raad van toezicht ""zorggroep noord-west veluwe"""	/(omstreeks: 00-04-2006)/	2259	Mosterd	A.	Aart	Aart		m
6	11482	Directed		1.0	"lid raad van toezicht ""zorggroep-zuid gelderland"""	00-00-2005/	3002	Dalen-Schiphorst	W.W.J.	Woutera Wilhelmina Johanna	Thea	van	v
6	11483	Directed		1.0	lid	00-06-2008/	3175	Klein Breteler	J.J.A.H.	Joannes Joseph Arnoldus Hyacinthus	Hans		m
6	11484	Directed		1.0	"voorzitter zorginnovatieplatform ""vita-valley"""	00-06-2008/00-10-2010	3012	Klink	A.	Abraham	Ab		m
